Code,Parent,Name_de
"25701058","72130","Carrossier | Carrossière"
"25701059","72320","Segelflugzeugbauer | Segelflugzeugbauerin"
"25701060","75220","Holzkarosseriebauer | Holzkarosseriebauerin"
"25701061","72140","Metallbootbauer | Metallbootbauerin"
"25701062","31220","Fahrzeugschlosser-Werkleiter, eidg. FA | Fahrzeugschlosserin-Werkleiterin, eidg. FA"
"25701064","72130","Autochassismacher | Autochassismacherin"
"25701065","13210","Carrosseriebaumeister | Carrosseriebaumeisterin"
"25701066","71154","Schiffbaukonstrukteur | Schiffbaukonstrukteurin"
"25701067","71154","Kanubauer | Kanubauerin"
"25701068","72310","Wagenbauer | Wagenbauerin"
"25701069","31500","Schiffsexperte | Schiffsexpertin"
"25701070","13210","Bootbaumeister HFP | Bootbaumeisterin HFP"
"25701071","13210","Carrosseriemeister HFP | Carrosseriemeisterin HFP"
"25701072","72130","Carrosseriespengler, eidg. FA | Carrosseriespenglerin, eidg. FA"
"25701073","72310","Fahrzeugschlosser, eidg. FA | Fahrzeugschlosserin, eidg. FA"
"25701074","82110","Fahrzeugkonstrukteur | Fahrzeugkonstrukteurin"
"25701075","31220","Carrosseriespengler-Werkleiter | Carrosseriespenglerin-Werkleiterin"
"25701076","13210","Carrosseriespenglermeister | Carrosseriespenglermeisterin"
"25701077","13210","Carrosserieschlossermeister | Carrosserieschlossermeisterin"
"25701078","31220","Fahrzeugschlosser-Werkleiter | Fahrzeugschlosserin-Werkleiterin"
"25701080","13210","Bootbaumeister | Bootbaumeisterin"
"25701081","13210","Carrosseriemeister | Carrosseriemeisterin"
"25701082","31151","Crashtester Autobranche | Crashtesterin Autobranche"
"25701083","72310","Bootfachwart | Bootfachwartin"
"25701085","82110","Solarmobilbauer | Solarmobilbauerin"
"25701086","72130","Carrossier Spenglerei EFZ | Carrossierin Spenglerei EFZ"
"25701087","72310","Fahrzeugschlosser EFZ | Fahrzeugschlosserin EFZ"
"25701088","31190","Gleitschirmtechniker | Gleitschirmtechnikerin"
"25701089","71154","Ruderbootbauer | Ruderbootbauerin"
"25701090","72320","Flugzeugkonstrukteur | Flugzeugkonstrukteurin"
"25702001","31151","Automobilkonstrukteur | Automobilkonstrukteurin"
"25702002","72310","Fahrzeugmechaniker | Fahrzeugmechanikerin"
"25702003","72310","Autoreparateur | Autoreparateurin"
"25702004","72310","Kraftfahrzeugmechaniker | Kraftfahrzeugmechanikerin"
"25702005","72310","Automechaniker, schwere Motorwagen | Automechanikerin, schwere Motorwagen"
"25702006","72310","Automechaniker | Automechanikerin"
"25702007","72310","Automechaniker, leichte Motorwagen | Automechanikerin, leichte Motorwagen"
"25702008","72310","Automonteur | Automonteurin"
"25702009","14390","Garagist | Garagistin"
"25702010","72310","Garagemechaniker | Garagemechanikerin"
"25702011","72310","Kraftwagenmechaniker | Kraftwagenmechanikerin"
"25702012","72310","Lastwagenmechaniker | Lastwagenmechanikerin"
"25702013","72310","Autoreparaturmechaniker | Autoreparaturmechanikerin"
"25702014","54190","Strassenpatrouilleur | Strassenpatrouilleurin"
"25702015","72310","Kraftwagenreparateur | Kraftwagenreparateurin"
"25702016","72310","Automechaniker, dipl. HFP | Automechanikerin, dipl. HFP"
"25702018","14390","Garagechef | Garagechefin"
"25702019","72310","Automobildiagnostiker, eidg. FA | Automobildiagnostikerin, eidg. FA"
"25702020","72310","Fahrzeugwart, Personenwagen/Lastwagen | Fahrzeugwartin, Personenwagen/Lastwagen"
"25702021","31220","Autowerkstattleiter | Autowerkstattleiterin"
