Occupation,CH-ISCO-19
alt-Landam.,33102027
alt-Oberrichter,*
alt-Reg-Rath,33102120
auf d. Intelligenzblatt-Bureau,*
eidg. Archivar,*
eidgen. Major,*
eidgen. Oberst,36104021
erst. Sekretär d. Finanzdep.,*
franz. Pfarrer,43201027
g. Offiz. in Oesterr.,36104026
gew. Amtsschreib.,*
gew. Angest. b. d. Kantonalb.,*
gew. Apoth.,*
gew. Bäckt.,*
gew. Banquier,*
gew. Brodbäck,*
gew. Brodbäck.,*
gew. Buchhalt. d. Strafanstalt,*
gew. Buchhändl.,*
gew. Buchhändler,*
gew. Caffeewirth.,*
gew. Eisennegt.,*
gew. Gerichtspräs.,*
gew. Großrath,*
gew. Hauptm.,*
gew. Hptm. in Neapel,*
gew. Ingenieur,*
gew. Kasernenverw.,*
gew. Kondkt.,*
gew. Kondukteur,*
gew. Kronenwirth,*
gew. Küfermstr.,*
gew. Major,*
gew. Missionär,*
gew. Neg.,*
gew. Notar,*
gew. Oberförster,*
gew. Oberlehrer,44401004
gew. Oberricht.,36201014
gew. Oberrichter,36201014
gew. Oberst,36104021
gew. Oberstl.,*
gew. Oberzollverw.,*
gew. Offiz. in Neapel,36104026
gew. Offiz. in Oesterreich,36104026
gew. Offizier in Holland,36104026
gew. Offizier in Neapel,36104026
gew. Pfr.,43201027
gew. Polizei-Inspektor,*
gew. Reg.-Rath,33102120
gew. Schaffner,34105008
gew. Schlosserm.,*
gew. Spinnmeister im Brgrsp.,*
gew. Spitaleinz.,*
gew. Standeskas.,*
gew. Waisenvater,*
gew. Weinnegt.,*
gew. Zuchthauspred.,*
gewes. Kaufm. bei’r Linde.,*
gewes. Oberst,36104021
gewes. Salzkassier,*
gewes. Schneider,*
gewes. Waagmeister,*
gewesen. Kantonsbaumeister,*
gw. Bäck.,21103001
gw. Eisennegt.,*
gw. Offiz. in Württemberg,36104026
gw. Schirrmst.,*
kath. Pfarrer,43201027
neap. Offiz.,36104026
nordamerikan. Gesandter,*
